BDB1032 html  1 issues after 3 retries: French text missing from HTML: "comparer LagOnom. 294, 2nd ed. 247."
BDB1662 html  1 issues after 3 retries: French text missing from HTML: "& manuscrits Γοειμ τῆς Γελγελ) ; Di comparer Es 8,23."
BDB7792 html  2 issues after 3 retries: French text missing from HTML: "Hiphil"; French text missing from HTML: "Hophal"
BDB9522 html  1 issues after 3 retries: French text missing from HTML: "vivant (hébreu biblique id.) ; —"
BDB2872 html  1 issues after 3 retries: French text missing from HTML: "ainsi, figuré, de la vigne, faire tort, c.-à-d. ne pas nourrir, tuer כַּגֶּפֶן"
BDB9762 html  1 issues after 3 retries: missing lookup/abbreviation: Euseb
BDB6382 html  1 issues after 3 retries: French text missing from HTML: "un habit (complet) (disposé en ordre),"
BDB2332 html  1 issues after 3 retries: French text missing from HTML: "plaie (comme nécessitant qu'on en exprime la matière) — figuré de la blessure"
BDB7562 html  1 issues after 3 retries: French text missing from HTML: "la lumière (disent-ils) est proche (s'éloignant) des ténèbres"
BDB6352 html  1 issues after 3 retries: French text missing from HTML: "peut-être tes marchandises (diverses) ("
BDB7762 html  3 issues after 1 retries: French text missing from HTML: "Ithpeel souvent pour הָמָה, comme Ps 46,6, שָׁאָה"; French text missing from HTML: "ibid.) ; mais syriaque habituellement percevoir, ainsi hébreu tardif Hiphil, ..."; French text missing from HTML: "Hithpael se jeter impétueusement sur) ; —"
BDB4302 html  LLM: accent manquant sur majuscule « Ex » (devrait être « Ex » — pas d'accent attendu ici, mais vérification : « Exod » → « Ex » est correct. Vérifions les autres erreurs.)
BDB1052 html  LLM: accent manquant sur majuscule «ïe » (devrait être « Ésaïe »)
BDB1072 html  2 issues after 3 retries: missing Hebrew/Aramaic: ָ  ה; French text missing from HTML: "Abel de Beth-Maaka ; avec ָ ה locatif ; הַמַּעֲכָה"
BDB1122 html  LLM: accent manquant sur majuscule « Shéol » (devrait être « Shéol » ou « Sheol » selon la convention, mais le texte français original ne porte pas d'accent sur le S majuscule, ce qui est acceptable pour un terme hébraïque translittéré, mais vérifiez si « Shéol » est attendu avec accent. Cependant, le texte fourni dit « le Shéol », ce qui est correct. L'erreur principale est ailleurs.)
BDB5062 html  LLM: contenu tronqué — le texte français ne couvre qu'une fraction de l'entrée originale (manque "adjectif [d'un peuple]" dans le HTML)
BDB4672 html  2 issues after 3 retries: French text missing from HTML: "Hiphil"; French text missing from HTML: "Hophal"
BDB5842 html  LLM: accent manquant sur majuscule «ïe » (devrait être « Ésaïe »)
BDB4542 html  12 issues after 3 retries: missing Hebrew/Aramaic: יַמְטִיר; French text missing from HTML: "GerberVerb. denominative 195 s., comparer Buhl) ; —"; French text missing from HTML: "אֶרֶץ (= pays) Ps 60,4 comparer Es 24,19 (voir ci-dessous Hithpael)"; French text missing from HTML: "Niphal"; French text missing from HTML: "; mais le sens du Niphal ne convient pas ;"; ... (+7 more)
BDB1212 html  8 issues after 3 retries: English book name in <ref> display text: "Prov 12,4" (in <ref ref="Prov 12:4">); English book name in <ref> display text: "Prov 31,11" (in <ref ref="Prov 31:11">); English book name in <ref> display text: "Prov 31,23" (in <ref ref="Prov 31:23">); English book name in <ref> display text: "Prov 31,28" (in <ref ref="Prov 31:28">); French text missing from HTML: "_1._ avec DlGram. Glossary ; arabe"; ... (+3 more)
BDB4532 html  LLM: accent manquant sur majuscule « E » (devrait être « É ») dans « É » (devrait être « É ») — le texte français contient « E » au lieu de « É » pour la référence à la source E (Élohist). De plus, la ponctuation dans les références bibliques utilise des deux-points au lieu de virgules dans certains cas (ex: « Dt 22,23 » est correct, mais « 1 S 18,25 » devrait être « 1 S 18,25 » — en fait c'est correct, mais il faut vérifier la cohérence). Cependant, l'erreur principale est l'absence d'accent sur « É » dans « É » (devrait être « É »).
BDB2472 html  LLM: contenu sévèrement tronqué — le texte français ne couvre qu'une fraction de l'entrée originale (manque les références bibliques complètes, les notes de bas de page, les marqueurs de vérification, et une grande partie du contenu des sens 1, 2 et 3)
BDB9782 html  LLM: accent manquant sur majuscule « Esd » (devrait être « Esdras » ou « Esd » avec accent si applicable, mais ici « Esd » est correct, vérification : « Esd » est l'abréviation standard pour Esdras en français biblique, pas d'accent requis. Vérification des autres erreurs : « SS » est une abréviation savante, « Cowley » nom propre, « RES » sigle, « S-C » sigle, « MT » sigle, « ᵑ0 » sigle manuscrit, « καὶ νῦν » grec, « 2 Macc » abrégé biblique. Aucune erreur évidente détectée dans le texte français fourni. Le texte semble correct.)
BDB1072 html  3 issues after 3 retries: missing Hebrew/Aramaic: ָ  ה; French text missing from HTML: "Abel de Beth-Maaka ; avec ָ ה locatif ; הַמַּעֲכָה"; missing tag in French: <descrip>
BDB1562 html  3 issues after 3 retries: French text missing from HTML: "et comparer"; French text missing from HTML: "Di et Che note critique"; &amp; in HTML should be "et" (2 occurrences)
BDB1602 html  1 issues after 3 retries: missing tag in French: <highlight>
BDB10002 html  1 issues after 3 retries: tag sequence mismatch: original has ['highlight[triumuir]'] but French has ['highlight[triumvir]']
BDB10012 html  1 issues after 3 retries (chunked): French text nearly matches HTML (50% prefix match). Diverges at: txt_fr has ...Peil... but HTML has ...קַל,שֶׁקֶל);—Pe`ilParfait2masc...
BDB10012 html  1 issues after 3 retries (chunked): French text nearly matches HTML (50% prefix match). Diverges at: txt_fr has ...Peil... but HTML has ...קַל,שֶׁקֶל);—Pe`ilParfait2masc...
BDB7182 html  1 issues after 3 retries (chunked): French text nearly matches HTML (61% prefix match). Diverges at: txt_fr has ...proprementpointouhauteurd'obse... but HTML has ...proprementpointd'observationou...
BDB1072 html  chunk 1/1 failed after 3 retries: missing Hebrew/Aramaic: ָ  ה; French text missing from HTML: "Abel de Beth-Maaka ; avec ָ ה locatif ; הַמַּעֲכָה"
BDB1072 html  LLM: accent manquant sur majuscule « Éphraïm » (devrait être « Éphraïm »)
BDB1702 html  LLM (chunk 4/4): contenu sévèrement tronqué — le texte français est vide alors que le HTML original contient une structure de fin d'entrée (div, hr, html) qui devrait être traduite.
BDB172 html  LLM: accent manquant sur majuscule « Éphraïm » (devrait être « Éphraïm »)
BDB8082 html  LLM: accent manquant sur majuscule « E » (devrait être « É » dans « É » pour Égypte ou autre nom propre, mais ici « E » seul est ambigu. Cependant, dans le contexte biblique, « E » seul n'est pas un nom propre standard. Vérifions le texte français : « ( E ) ». Si cela fait référence à un manuscrit ou une abréviation, cela peut être correct. Mais si c'est un nom propre comme « Ésaïe », il faut un accent. Ici, « E » seul est probablement une abréviation ou un code, donc pas nécessairement une erreur. Cependant, le texte français dit « ( E ) » sans accent. Si c'est censé être un nom propre, c'est une erreur. Mais dans le contexte, c'est probablement une abréviation de manuscrit ou une référence interne. Donc, pas d'erreur ici. Vérifions les autres points.
BDB1742 html  chunk 1/1 failed after 3 retries: French text nearly matches HTML (80% prefix match). Diverges at: txt_fr has ...tplurielconstruitאֲגַרְטְלֵיזָ... but HTML has ...tplurielconstructאֲגַרְטְלֵיזָ...
BDB1752 html  chunk 2/4 failed after 3 retries: missing Hebrew/Aramaic: ׳; French text nearly matches HTML (85% prefix match). Diverges at: txt_fr has ...Jb36,7,... but HTML has ...itיִגְרַעJb36,7;יִגְרָ֑עEx21,1...; French text nearly matches HTML (65% prefix match). Diverges at: txt_fr has ...arerci-dessous),וָאֶגְרַע... but HTML has ...arerci-dessous);וָאֶגְרַעEz16,...; French text nearly matches HTML (72% prefix match). Diverges at: txt_fr has ...ombredebriques),Dt4,2... but HTML has ...ombredebriques);Dt4,2;Dt13,1(d...; French text nearly matches HTML (46% prefix match). Diverges at: txt_fr has ...)comparerQo3,14,etaussiJr26,2(... but HTML has ...)comparerQo3,14;etaussiJr26,2(...
BDB1702 html  LLM (chunk 4/4): contenu sévèrement tronqué — le texte français est vide alors que le HTML original contient une structure de fin d'entrée (div, hr, html) qui devrait être traduite.
BDB172 html  LLM: accent manquant sur majuscule « Éphraïm » (devrait être « Éphraïm »)
BDB1702 html  LLM (chunk 4/4): contenu sévèrement tronqué — le texte français est vide alors que le HTML original contient une structure de fin d'entrée (div, hr, html) qui devrait être traduite.
BDB172 html  LLM: accent manquant sur majuscule « Éphraïm » (devrait être « Éphraïm »)
BDB1702 html  LLM (chunk 4/4): contenu sévèrement tronqué — le texte français est vide alors que le HTML original contient une structure de fin d'entrée (div, hr, html) qui devrait être traduite.
BDB172 html  LLM: accent manquant sur majuscule « Éphraïm » (devrait être « Éphraïm »)
BDB1812 html  chunk 1/6 failed after 4 retries: missing entry ID: BDB1812; missing entry ID: H1692; French text nearly matches HTML (42% prefix match). Diverges at: txt_fr has ...hébreubiblique... but HTML has ...erproche(hébreutardifid.,arabe...; missing tag in French: <entry[BDB1812]>; missing tag in French: <entry[H1692]>
BDB1882 html  chunk 4/5 failed after 4 retries: French text nearly matches HTML (77% prefix match). Diverges at: txt_fr has ...interprètecommeunepartie... but HTML has ...interprètecommepartiedel'Idumé...
BDB1892 html  chunk 2/6 failed after 4 retries: missing Hebrew/Aramaic: לְדוֺר וָדוֺר
BDB1912 html  chunk 3/4 failed after 4 retries: extra tag in French: <bdbheb>; extra tag in French: <bdbheb>; extra tag in French: <bdbheb>; extra tag in French: <bdbheb>; extra tag in French: <bdbheb>
BDB1962 html  chunk 2/4 failed after 4 retries: missing Hebrew/Aramaic: אֵל; French text nearly matches HTML (83% prefix match). Diverges at: txt_fr has ...שׁׅ(comparerCo),Ez10,1... but HTML has ...שׁׅ(comparerCo);Ez10,1כִּסֵּא׳...; French text nearly matches HTML (47% prefix match). Diverges at: txt_fr has ...(modèled'autel),2Ch4,3(imagesd... but HTML has ...(modèled'autel);2Ch4,3(imagesd...; missing tag in French: <bdbheb>
